Fiscal Year,General Stabilization Fund,Capital Stabilization Fund,Free Cash,OPEB Trust Fund
FY2010,586156,0,132011,0
FY2011,356712,0,82950,0
FY2012,578922,0,522917,0
FY2013,661516,0,308072,0
FY2014,662814,0,170080,0
FY2015,791323,0,365599,0
FY2016,801650,0,430747,2478
FY2017,887445,0,927080,43178
FY2018,987623,0,888378,171923
FY2019,1061795,0,624571,258599
FY2020,1172178,0,1543000,388617
FY2021,1200680,0,505783,444760
FY2022,1370662,0,1016572,528339
FY2023,1175520,359056,843660,596325
FY2024,1269196,412543,757859,703149
FY2025,-,-,997314,-