Department Code,Account Number,Department Name,Function
114,010-114-5100-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5110-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5120-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5140-00-0000,Town Clerk / Town Meeting,General Government
162,010-162-5110-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5110-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5120-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5200-00-0000,Town Clerk / Town Meeting,General Government
162,010-162-5200-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5200-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5400-00-0000,Town Clerk / Town Meeting,General Government
162,010-162-5400-00-0000,Town Clerk / Town Meeting,General Government
163,010-163-5400-00-0000,Town Clerk / Town Meeting,General Government
114,010-114-5700-00-0000,Town Clerk / Town Meeting,General Government
161,010-161-5700-00-0000,Town Clerk / Town Meeting,General Government
122,010-122-5100-00-0000,Select Board / Town Administrator,General Government
122,010-122-5130-00-0000,Select Board / Town Administrator,General Government
129,010-129-5110-00-0000,Select Board / Town Administrator,General Government
129,010-129-5115-00-0000,Select Board / Town Administrator,General Government
129,010-129-5120-00-0000,Select Board / Town Administrator,General Government
129,010-129-5160-00-0000,Select Board / Town Administrator,General Government
122,010-122-5200-00-0000,Select Board / Town Administrator,General Government
129,010-129-5200-00-0000,Select Board / Town Administrator,General Government
151,010-151-5200-00-0000,Select Board / Town Administrator,General Government
195,010-195-5200-00-0000,Select Board / Town Administrator,General Government
122,010-122-5400-00-0000,Select Board / Town Administrator,General Government
129,010-129-5400-00-0000,Select Board / Town Administrator,General Government
122,010-122-5700-00-0000,Select Board / Town Administrator,General Government
129,010-129-5700-00-0000,Select Board / Town Administrator,General Government
692,010-692-5700-00-0000,Select Board / Town Administrator,General Government
155,010-155-5210-00-0000,Information Technology,General Government
155,010-155-5220-00-0000,Information Technology,General Government
156,010-156-5200-00-0000,Information Technology,General Government
155,010-155-5400-00-0000,Information Technology,General Government
155,010-155-5850-00-0000,Information Technology,General Government
199,010-199-5110-00-0000,Community Televsion,General Government
199,010-199-5200-00-0000,Community Televsion,General Government
199,010-199-5202-00-0000,Community Televsion,General Government
199,010-199-5400-00-0000,Community Televsion,General Government
199,010-199-5700-00-0000,Community Televsion,General Government
199,010-199-5800-00-0000,Community Televsion,General Government
131,010-131-5120-00-0000,Boards & Commissions,General Government
176,010-176-5120-00-0000,Boards & Commissions,General Government
176,010-176-5200-00-0000,Boards & Commissions,General Government
179,010-179-5200-00-0000,Boards & Commissions,General Government
182,010-182-5200-00-0000,Boards & Commissions,General Government
691,010-691-5200-00-0000,Boards & Commissions,General Government
182,010-182-5400-00-0000,Boards & Commissions,General Government
131,010-131-5700-00-0000,Boards & Commissions,General Government
132,010-132-5700-00-0000,Boards & Commissions,General Government
300,010-300-5600-00-0000,Wachusett Regional School District,Public Education
300,010-300-5603-00-0000,Bay Path Regional Vocational Technical School District,Public Education
911,010-911-5100-00-0000,Employee Pension Assessments,Undistributed Expenses
914,010-914-5100-00-0000,Health & Dental Insurance,Undistributed Expenses
915,010-915-5100-00-0000,Health & Dental Insurance,Undistributed Expenses
916,010-916-5100-00-0000,Health & Dental Insurance,Undistributed Expenses
945,010-945-5740-00-0000,Property & General Liability Insurance,Undistributed Expenses
710,010-710-5900-00-0000,General Fund Debt Service,Undistributed Expenses
710,010-710-5900-01-0000,Excluded Debt Service,Undistributed Expenses
751,010-751-5900-00-0000,General Fund Debt Service,Undistributed Expenses
751,010-751-5900-01-0000,Excluded Debt Service,Undistributed Expenses
780,010-780-5850-00-0220,General Fund Debt Service,Undistributed Expenses
992,010-992-5960-04-0000,Transfers Out,Undistributed Expenses
992,010-992-5960-05-0000,Transfers Out,Undistributed Expenses
145,010-145-5110-00-0000,Treasurer/Collector,General Government
145,010-145-5120-00-0000,Treasurer/Collector,General Government
145,010-145-5130-00-0000,Treasurer/Collector,General Government
145,010-145-5140-00-0000,Treasurer/Collector,General Government
145,010-145-5200-00-0000,Treasurer/Collector,General Government
158,010-158-5200-00-0000,Treasurer/Collector,General Government
159,010-159-5200-00-0000,Treasurer/Collector,General Government
160,010-160-5200-00-0000,Treasurer/Collector,General Government
145,010-145-5400-00-0000,Treasurer/Collector,General Government
158,010-158-5400-00-0000,Treasurer/Collector,General Government
159,010-159-5400-00-0000,Treasurer/Collector,General Government
160,010-160-5400-00-0000,Treasurer/Collector,General Government
145,010-145-5700-00-0000,Treasurer/Collector,General Government
135,010-135-5110-00-0000,Town Accountant,General Government
135,010-135-5140-00-0000,Town Accountant,General Government
135,010-135-5210-00-0000,Town Accountant,General Government
135,010-135-5220-00-0000,Town Accountant,General Government
135,010-135-5230-00-0000,Town Accountant,General Government
135,010-135-5400-00-0000,Town Accountant,General Government
135,010-135-5700-00-0000,Town Accountant,General Government
141,010-141-5100-00-0000,Assessors Office,General Government
141,010-141-5110-00-0000,Assessors Office,General Government
141,010-141-5130-00-0000,Assessors Office,General Government
141,010-141-5200-00-0000,Assessors Office,General Government
141,010-141-5400-00-0000,Assessors Office,General Government
141,010-141-5700-00-0000,Assessors Office,General Government
171,010-171-5110-00-0000,"Planning, Community Development & Conservation",Land Use
175,010-175-5100-00-0000,"Planning, Community Development & Conservation",Land Use
175,010-175-5110-00-0000,"Planning, Community Development & Conservation",Land Use
171,010-171-5200-00-0000,"Planning, Community Development & Conservation",Land Use
175,010-175-5200-00-0000,"Planning, Community Development & Conservation",Land Use
171,010-171-5400-00-0000,"Planning, Community Development & Conservation",Land Use
171,010-171-5700-00-0000,"Planning, Community Development & Conservation",Land Use
241,010-241-5110-00-0000,Inspectional Services,Land Use
241,010-241-5120-00-0000,Inspectional Services,Land Use
241,010-241-5130-00-0000,Inspectional Services,Land Use
242,010-242-5110-00-0000,Inspectional Services,Land Use
242,010-242-5120-00-0000,Inspectional Services,Land Use
243,010-243-5110-00-0000,Inspectional Services,Land Use
243,010-243-5120-00-0000,Inspectional Services,Land Use
245,010-245-5110-00-0000,Inspectional Services,Land Use
245,010-245-5120-00-0000,Inspectional Services,Land Use
241,010-241-5200-00-0000,Inspectional Services,Land Use
245,010-245-5200-00-0000,Inspectional Services,Land Use
241,010-241-5400-00-0000,Inspectional Services,Land Use
243,010-243-5400-00-0000,Inspectional Services,Land Use
245,010-245-5400-00-0000,Inspectional Services,Land Use
241,010-241-5700-00-0000,Inspectional Services,Land Use
242,010-242-5700-00-0000,Inspectional Services,Land Use
243,010-243-5700-00-0000,Inspectional Services,Land Use
245,010-245-5700-00-0000,Inspectional Services,Land Use
241,010-241-5800-00-0000,Inspectional Services,Land Use
510,010-510-5100-00-0000,Health Department,Land Use
510,010-510-5110-00-0000,Health Department,Land Use
510,010-510-5120-00-0000,Health Department,Land Use
510,010-510-5200-00-0000,Health Department,Land Use
510,010-510-5400-00-0000,Health Department,Land Use
510,010-510-5700-00-0000,Health Department,Land Use
510,010-510-5750-00-0000,Health Department,Land Use
610,010-610-5110-00-0000,Free Public Library,Human Services
610,010-610-5120-00-0000,Free Public Library,Human Services
610,010-610-5130-00-0000,Free Public Library,Human Services
610,010-610-5140-00-0000,Free Public Library,Human Services
610,010-610-5200-00-0000,Free Public Library,Human Services
610,010-610-5400-00-0000,Free Public Library,Human Services
610,010-610-5700-00-0000,Free Public Library,Human Services
541,010-541-5110-00-0000,Council on Aging / Senior Center,Human Services
541,010-541-5120-00-0000,Council on Aging / Senior Center,Human Services
541,010-541-5200-00-0000,Council on Aging / Senior Center,Human Services
541,010-541-5400-00-0000,Council on Aging / Senior Center,Human Services
541,010-541-5700-00-0000,Council on Aging / Senior Center,Human Services
543,010-543-5110-00-0000,Veterans Services,Human Services
543,010-543-5400-00-0000,Veterans Services,Human Services
543,010-543-5700-00-0000,Veterans Services,Human Services
543,010-543-5770-00-0000,Veterans Services,Human Services
210,010-210-5110-00-0000,Police,Public Safety
210,010-210-5111-00-0000,Police,Public Safety
210,010-210-5112-00-0000,Police,Public Safety
210,010-210-5115-00-0000,Police,Public Safety
210,010-210-5120-00-0000,Police,Public Safety
210,010-210-5125-00-0000,Police,Public Safety
210,010-210-5140-00-0000,Police,Public Safety
292,010-292-5110-00-0000,Animal Control,Public Safety
292,010-292-5120-00-0000,Animal Control,Public Safety
293,010-293-5110-00-0000,Police,Public Safety
210,010-210-5200-00-0000,Police,Public Safety
292,010-292-5200-00-0000,Animal Control,Public Safety
210,010-210-5400-00-0000,Police,Public Safety
292,010-292-5400-00-0000,Animal Control,Public Safety
210,010-210-5700-00-0000,Police,Public Safety
292,010-292-5700-00-0000,Animal Control,Public Safety
210,010-210-5850-00-0000,Police,Public Safety
292,010-292-5850-00-0000,Animal Control,Public Safety
220,010-220-5110-00-0000,Fire & EMS,Public Safety
220,010-220-5112-00-0000,Fire & EMS,Public Safety
220,010-220-5115-00-0000,Fire & EMS,Public Safety
220,010-220-5120-00-0000,Fire & EMS,Public Safety
220,010-220-5125-00-0000,Fire & EMS,Public Safety
220,010-220-5140-00-0000,Fire & EMS,Public Safety
220,010-220-5200-00-0000,Fire & EMS,Public Safety
220,010-220-5400-00-0000,Fire & EMS,Public Safety
220,010-220-5700-00-0000,Fire & EMS,Public Safety
220,010-220-5850-00-0000,Fire & EMS,Public Safety
299,010-299-5110-00-0000,Regional Dispatch,Public Safety
299,010-299-5120-00-0000,Regional Dispatch,Public Safety
299,010-299-5200-00-0000,Regional Dispatch,Public Safety
299,010-299-5400-00-0000,Regional Dispatch,Public Safety
421,010-421-5110-00-0000,Public Works - Administration,Public Works
421,010-421-5120-00-0000,Public Works - Administration,Public Works
421,010-421-5130-00-0000,Public Works - Administration,Public Works
421,010-421-5140-00-0000,Public Works - Administration,Public Works
421,010-421-5200-00-0000,Public Works - Administration,Public Works
421,010-421-5400-00-0000,Public Works - Administration,Public Works
421,010-421-5700-00-0000,Public Works - Operations,Public Works
423,010-423-5140-00-0000,Public Works - Operations,Public Works
422,010-422-5200-00-0000,Public Works - Operations,Public Works
322,010-322-5210-00-0000,Public Works - Operations,Public Works
423,010-423-5200-00-0000,Public Works - Operations,Public Works
429,010-429-5200-00-0000,Public Works - Operations,Public Works
430,010-430-5200-00-0000,Public Works - Operations,Public Works
433,010-433-5200-00-0000,Public Works - Operations,Public Works
294,010-294-5200-00-0000,Public Works - Operations,Public Works
491,010-491-5200-00-0000,Public Works - Operations,Public Works
422,010-422-5530-00-0000,Public Works - Operations,Public Works
422,010-422-5532-00-0000,Public Works - Operations,Public Works
422,010-422-5536-00-0000,Public Works - Operations,Public Works
422,010-422-5542-00-0000,Public Works - Operations,Public Works
423,010-423-5400-00-0000,Public Works - Operations,Public Works
423,010-423-5530-00-0000,Public Works - Operations,Public Works
423,010-423-5533-00-0000,Public Works - Operations,Public Works
423,010-423-5535-00-0000,Public Works - Operations,Public Works
429,010-429-5400-00-0000,Public Works - Operations,Public Works
430,010-430-5400-00-0000,Public Works - Operations,Public Works
431,010-431-5400-00-0000,Public Works - Operations,Public Works
294,010-294-5400-00-0000,Public Works - Operations,Public Works
491,010-491-5400-00-0000,Public Works - Operations,Public Works
650,010-650-5400-00-0000,Public Works - Operations,Public Works
652,010-652-5700-00-0000,Public Works - Operations,Public Works
424,010-424-5200-00-0000,Public Works - Facilities,Public Works
192,010-192-5230-00-0000,Public Works - Facilities,Public Works
192,010-192-5200-00-0000,Public Works - Facilities,Public Works
192,010-192-5202-00-0000,Public Works - Facilities,Public Works
192,010-192-5203-00-0000,Public Works - Facilities,Public Works
192,010-192-5204-00-0000,Public Works - Facilities,Public Works
192,010-192-5205-00-0000,Public Works - Facilities,Public Works
192,010-192-5210-00-0000,Public Works - Facilities,Public Works
192,010-192-5400-00-0000,Public Works - Facilities,Public Works
192,010-192-5402-00-0000,Public Works - Facilities,Public Works
192,010-192-5404-00-0000,Public Works - Facilities,Public Works
192,010-192-5405-00-0000,Public Works - Facilities,Public Works
192,010-192-5410-00-0000,Public Works - Facilities,Public Works
